Method,Level,Coverage Rate,Lower Miss,Upper Miss,Sample Repeatition,Monte Carlo Repeatition,Bootstrap Repeatition,Distribution
normal,0.9,0.916,0.032,0.052,250,500,100,Z
basic,0.9,0.882,0.054,0.064,250,500,100,Z
percentile,0.9,0.864,0.044,0.092,250,500,100,Z
normal,0.95,0.946,0.028,0.026,250,500,100,Z
basic,0.95,0.906,0.048,0.046,250,500,100,Z
percentile,0.95,0.922,0.044,0.034,250,500,100,Z
normal,0.99,0.992,0.004,0.004,250,500,100,Z
basic,0.99,0.966,0.018,0.016,250,500,100,Z
percentile,0.99,0.962,0.014,0.024,250,500,100,Z
normal,0.9,0.926,0.034,0.04,250,500,250,Z
basic,0.9,0.898,0.044,0.058,250,500,250,Z
percentile,0.9,0.878,0.062,0.06,250,500,250,Z
normal,0.95,0.938,0.018,0.044,250,500,250,Z
basic,0.95,0.944,0.028,0.028,250,500,250,Z
percentile,0.95,0.938,0.032,0.03,250,500,250,Z
normal,0.99,0.984,0.008,0.008,250,500,250,Z
basic,0.99,0.982,0.01,0.008,250,500,250,Z
percentile,0.99,0.982,0.012,0.006,250,500,250,Z
normal,0.9,0.884,0.056,0.06,250,500,500,Z
basic,0.9,0.894,0.052,0.054,250,500,500,Z
percentile,0.9,0.878,0.054,0.068,250,500,500,Z
normal,0.95,0.952,0.026,0.022,250,500,500,Z
basic,0.95,0.94,0.026,0.034,250,500,500,Z
percentile,0.95,0.958,0.022,0.02,250,500,500,Z
normal,0.99,0.98,0.012,0.008,250,500,500,Z
basic,0.99,0.984,0.006,0.01,250,500,500,Z
percentile,0.99,0.982,0.01,0.008,250,500,500,Z
normal,0.9,0.894,0.054,0.052,250,500,100,chisq(5)
basic,0.9,0.912,0.042,0.046,250,500,100,chisq(5)
percentile,0.9,0.854,0.062,0.084,250,500,100,chisq(5)
normal,0.95,0.926,0.034,0.04,250,500,100,chisq(5)
basic,0.95,0.938,0.018,0.044,250,500,100,chisq(5)
percentile,0.95,0.918,0.032,0.05,250,500,100,chisq(5)
normal,0.99,0.986,0.006,0.008,250,500,100,chisq(5)
basic,0.99,0.958,0.012,0.03,250,500,100,chisq(5)
percentile,0.99,0.978,0.006,0.016,250,500,100,chisq(5)
normal,0.9,0.884,0.052,0.064,250,500,250,chisq(5)
basic,0.9,0.918,0.038,0.044,250,500,250,chisq(5)
percentile,0.9,0.886,0.048,0.066,250,500,250,chisq(5)
normal,0.95,0.958,0.01,0.032,250,500,250,chisq(5)
basic,0.95,0.93,0.018,0.052,250,500,250,chisq(5)
percentile,0.95,0.934,0.022,0.044,250,500,250,chisq(5)
normal,0.99,0.986,0.008,0.006,250,500,250,chisq(5)
basic,0.99,0.98,0.006,0.014,250,500,250,chisq(5)
percentile,0.99,0.982,0.002,0.016,250,500,250,chisq(5)
normal,0.9,0.88,0.046,0.074,250,500,500,chisq(5)
basic,0.9,0.892,0.038,0.07,250,500,500,chisq(5)
percentile,0.9,0.894,0.054,0.052,250,500,500,chisq(5)
normal,0.95,0.936,0.02,0.044,250,500,500,chisq(5)
basic,0.95,0.956,0.016,0.028,250,500,500,chisq(5)
percentile,0.95,0.94,0.024,0.036,250,500,500,chisq(5)
normal,0.99,0.988,0.002,0.01,250,500,500,chisq(5)
basic,0.99,0.978,0.002,0.02,250,500,500,chisq(5)
percentile,0.99,0.984,0.006,0.01,250,500,500,chisq(5)
normal,0.9,0.872,0.066,0.062,250,500,100,chisq(20)
basic,0.9,0.862,0.052,0.086,250,500,100,chisq(20)
percentile,0.9,0.874,0.062,0.064,250,500,100,chisq(20)
normal,0.95,0.942,0.022,0.036,250,500,100,chisq(20)
basic,0.95,0.928,0.028,0.044,250,500,100,chisq(20)
percentile,0.95,0.932,0.026,0.042,250,500,100,chisq(20)
normal,0.99,0.978,0.01,0.012,250,500,100,chisq(20)
basic,0.99,0.972,0.01,0.018,250,500,100,chisq(20)
percentile,0.99,0.978,0.006,0.016,250,500,100,chisq(20)
normal,0.9,0.904,0.052,0.044,250,500,250,chisq(20)
basic,0.9,0.912,0.034,0.054,250,500,250,chisq(20)
percentile,0.9,0.91,0.038,0.052,250,500,250,chisq(20)
normal,0.95,0.962,0.026,0.012,250,500,250,chisq(20)
basic,0.95,0.93,0.028,0.042,250,500,250,chisq(20)
percentile,0.95,0.932,0.016,0.052,250,500,250,chisq(20)
normal,0.99,0.978,0.006,0.016,250,500,250,chisq(20)
basic,0.99,0.984,0.006,0.01,250,500,250,chisq(20)
percentile,0.99,0.982,0.012,0.006,250,500,250,chisq(20)
normal,0.9,0.884,0.052,0.064,250,500,500,chisq(20)
basic,0.9,0.914,0.04,0.046,250,500,500,chisq(20)
percentile,0.9,0.898,0.054,0.048,250,500,500,chisq(20)
normal,0.95,0.95,0.018,0.032,250,500,500,chisq(20)
basic,0.95,0.958,0.024,0.018,250,500,500,chisq(20)
percentile,0.95,0.964,0.018,0.018,250,500,500,chisq(20)
normal,0.99,0.994,0.002,0.004,250,500,500,chisq(20)
basic,0.99,0.982,0.002,0.016,250,500,500,chisq(20)
percentile,0.99,0.974,0.008,0.018,250,500,500,chisq(20)
normal,0.9,0.89,0.042,0.068,250,500,100,t(5)
basic,0.9,0.878,0.06,0.062,250,500,100,t(5)
percentile,0.9,0.882,0.052,0.066,250,500,100,t(5)
normal,0.95,0.942,0.03,0.028,250,500,100,t(5)
basic,0.95,0.926,0.038,0.036,250,500,100,t(5)
percentile,0.95,0.948,0.036,0.016,250,500,100,t(5)
normal,0.99,0.98,0.016,0.004,250,500,100,t(5)
basic,0.99,0.986,0.006,0.008,250,500,100,t(5)
percentile,0.99,0.966,0.016,0.018,250,500,100,t(5)
normal,0.9,0.874,0.066,0.06,250,500,250,t(5)
basic,0.9,0.918,0.048,0.034,250,500,250,t(5)
percentile,0.9,0.868,0.068,0.064,250,500,250,t(5)
normal,0.95,0.95,0.03,0.02,250,500,250,t(5)
basic,0.95,0.932,0.032,0.036,250,500,250,t(5)
percentile,0.95,0.936,0.042,0.022,250,500,250,t(5)
normal,0.99,0.98,0.004,0.016,250,500,250,t(5)
basic,0.99,0.982,0.014,0.004,250,500,250,t(5)
percentile,0.99,0.99,0.008,0.002,250,500,250,t(5)
normal,0.9,0.926,0.044,0.03,250,500,500,t(5)
basic,0.9,0.9,0.056,0.044,250,500,500,t(5)
percentile,0.9,0.9,0.056,0.044,250,500,500,t(5)
normal,0.95,0.952,0.026,0.022,250,500,500,t(5)
basic,0.95,0.95,0.024,0.026,250,500,500,t(5)
percentile,0.95,0.956,0.024,0.02,250,500,500,t(5)
normal,0.99,0.988,0.01,0.002,250,500,500,t(5)
basic,0.99,0.994,0.002,0.004,250,500,500,t(5)
percentile,0.99,0.988,0.002,0.01,250,500,500,t(5)
normal,0.9,0.916,0.044,0.04,250,500,100,t(20)
basic,0.9,0.874,0.07,0.056,250,500,100,t(20)
percentile,0.9,0.876,0.062,0.062,250,500,100,t(20)
normal,0.95,0.938,0.034,0.028,250,500,100,t(20)
basic,0.95,0.92,0.054,0.026,250,500,100,t(20)
percentile,0.95,0.94,0.036,0.024,250,500,100,t(20)
normal,0.99,0.99,0.008,0.002,250,500,100,t(20)
basic,0.99,0.974,0.016,0.01,250,500,100,t(20)
percentile,0.99,0.978,0.012,0.01,250,500,100,t(20)
normal,0.9,0.918,0.042,0.04,250,500,250,t(20)
basic,0.9,0.884,0.052,0.064,250,500,250,t(20)
percentile,0.9,0.908,0.05,0.042,250,500,250,t(20)
normal,0.95,0.946,0.028,0.026,250,500,250,t(20)
basic,0.95,0.948,0.016,0.036,250,500,250,t(20)
percentile,0.95,0.94,0.03,0.03,250,500,250,t(20)
normal,0.99,0.984,0.006,0.01,250,500,250,t(20)
basic,0.99,0.98,0.008,0.012,250,500,250,t(20)
percentile,0.99,0.988,0.006,0.006,250,500,250,t(20)
normal,0.9,0.89,0.072,0.038,250,500,500,t(20)
basic,0.9,0.904,0.052,0.044,250,500,500,t(20)
percentile,0.9,0.874,0.058,0.068,250,500,500,t(20)
normal,0.95,0.948,0.028,0.024,250,500,500,t(20)
basic,0.95,0.94,0.024,0.036,250,500,500,t(20)
percentile,0.95,0.936,0.032,0.032,250,500,500,t(20)
normal,0.99,0.994,0.002,0.004,250,500,500,t(20)
basic,0.99,0.988,0.008,0.004,250,500,500,t(20)
percentile,0.99,0.98,0.016,0.004,250,500,500,t(20)
normal,0.9,0.894,0.038,0.068,250,500,100,"F(5,20)"
basic,0.9,0.87,0.04,0.09,250,500,100,"F(5,20)"
percentile,0.9,0.872,0.058,0.07,250,500,100,"F(5,20)"
normal,0.95,0.942,0.016,0.042,250,500,100,"F(5,20)"
basic,0.95,0.908,0.022,0.07,250,500,100,"F(5,20)"
percentile,0.95,0.91,0.034,0.056,250,500,100,"F(5,20)"
normal,0.99,0.984,0.002,0.014,250,500,100,"F(5,20)"
basic,0.99,0.96,0.006,0.034,250,500,100,"F(5,20)"
percentile,0.99,0.958,0.006,0.036,250,500,100,"F(5,20)"
normal,0.9,0.914,0.032,0.054,250,500,250,"F(5,20)"
basic,0.9,0.876,0.032,0.092,250,500,250,"F(5,20)"
percentile,0.9,0.878,0.054,0.068,250,500,250,"F(5,20)"
normal,0.95,0.942,0.018,0.04,250,500,250,"F(5,20)"
basic,0.95,0.95,0.016,0.034,250,500,250,"F(5,20)"
percentile,0.95,0.934,0.028,0.038,250,500,250,"F(5,20)"
normal,0.99,0.996,0.002,0.002,250,500,250,"F(5,20)"
basic,0.99,0.982,0.008,0.01,250,500,250,"F(5,20)"
percentile,0.99,0.98,0.006,0.014,250,500,250,"F(5,20)"
normal,0.9,0.878,0.054,0.068,250,500,500,"F(5,20)"
basic,0.9,0.876,0.042,0.082,250,500,500,"F(5,20)"
percentile,0.9,0.904,0.054,0.042,250,500,500,"F(5,20)"
normal,0.95,0.92,0.028,0.052,250,500,500,"F(5,20)"
basic,0.95,0.948,0.01,0.042,250,500,500,"F(5,20)"
percentile,0.95,0.954,0.014,0.032,250,500,500,"F(5,20)"
normal,0.99,0.988,0.002,0.01,250,500,500,"F(5,20)"
basic,0.99,0.986,0.004,0.01,250,500,500,"F(5,20)"
percentile,0.99,0.98,0.004,0.016,250,500,500,"F(5,20)"
normal,0.9,0.87,0.05,0.08,250,500,100,"F(20, 20)"
basic,0.9,0.898,0.038,0.064,250,500,100,"F(20, 20)"
percentile,0.9,0.894,0.048,0.058,250,500,100,"F(20, 20)"
normal,0.95,0.944,0.016,0.04,250,500,100,"F(20, 20)"
basic,0.95,0.926,0.022,0.052,250,500,100,"F(20, 20)"
percentile,0.95,0.912,0.048,0.04,250,500,100,"F(20, 20)"
normal,0.99,0.982,0.004,0.014,250,500,100,"F(20, 20)"
basic,0.99,0.98,0,0.02,250,500,100,"F(20, 20)"
percentile,0.99,0.974,0.012,0.014,250,500,100,"F(20, 20)"
normal,0.9,0.886,0.036,0.078,250,500,250,"F(20, 20)"
basic,0.9,0.888,0.046,0.066,250,500,250,"F(20, 20)"
percentile,0.9,0.902,0.038,0.06,250,500,250,"F(20, 20)"
normal,0.95,0.95,0.022,0.028,250,500,250,"F(20, 20)"
basic,0.95,0.934,0.024,0.042,250,500,250,"F(20, 20)"
percentile,0.95,0.918,0.028,0.054,250,500,250,"F(20, 20)"
normal,0.99,0.99,0.004,0.006,250,500,250,"F(20, 20)"
basic,0.99,0.982,0,0.018,250,500,250,"F(20, 20)"
percentile,0.99,0.976,0.006,0.018,250,500,250,"F(20, 20)"
normal,0.9,0.894,0.05,0.056,250,500,500,"F(20, 20)"
basic,0.9,0.892,0.042,0.066,250,500,500,"F(20, 20)"
percentile,0.9,0.894,0.048,0.058,250,500,500,"F(20, 20)"
normal,0.95,0.94,0.026,0.034,250,500,500,"F(20, 20)"
basic,0.95,0.952,0.008,0.04,250,500,500,"F(20, 20)"
percentile,0.95,0.96,0.02,0.02,250,500,500,"F(20, 20)"
normal,0.99,0.99,0.006,0.004,250,500,500,"F(20, 20)"
basic,0.99,0.98,0.004,0.016,250,500,500,"F(20, 20)"
percentile,0.99,0.986,0.008,0.006,250,500,500,"F(20, 20)"
